Date,Country,Affiliate,Regs,Ret_Day1,Ret_Day7,Complete_Tutorial,Spend,Depositors_D0,Deposits_D0,Deposit_Amount_D0,Deposits_D1,Depositors_D1,Deposit_Amount_D1,Deposits_D7,Depositors_D7,Deposit_Amount_D7,Deposits_D10,Depositors_D10,Deposit_Amount_D10,Deposits_D30,Depositors_D30,Deposit_Amount_D30
01/03/2020,Germany,Affiliate_33,113,27,11,97,$789,1,1,$25,3,2,$45,7,3,$75,7,3,$75,12,4,$148
01/03/2020,Germany,Affiliate_34,479,132,60,358,"$4,230",3,3,$14,7,6,$66,16,7,$282,19,7,$327,61,11,$985
01/03/2020,Germany,Rest,263,81,33,233,"$1,463",6,14,$273,24,11,$343,30,12,$371,34,13,$440,57,16,$707
01/03/2020,Japan,Affiliate_27,9,3,0,7,$647,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
01/03/2020,Japan,Affiliate_29,126,36,16,94,"$4,967",5,10,$203,16,6,$238,20,7,$265,23,7,$313,34,9,$357
01/03/2020,Japan,Affiliate_34,35,13,4,27,$682,1,1,$1,1,1,$1,1,1,$1,1,1,$1,2,2,$7
01/03/2020,Japan,Rest,15,7,3,13,$249,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
01/03/2020,Rest of the world,Affiliate_26,570,196,59,455,$0,1,2,$5,3,2,$6,6,4,$12,6,4,$12,10,7,$61
01/03/2020,Rest of the world,Affiliate_27,343,127,57,274,"$4,930",7,7,$25,21,13,$112,27,15,$137,31,17,$143,39,19,$206
01/03/2020,Rest of the world,Affiliate_28,430,123,44,351,"$2,017",7,12,$33,24,8,$131,35,11,$173,40,11,$193,74,12,$559
01/03/2020,Rest of the world,Affiliate_29,"4,904","1,683",753,"4,043","$100,797",145,251,"$2,386",592,228,"$5,636",861,269,"$8,873",987,280,"$10,653","1,744",321,"$22,127"
01/03/2020,Rest of the world,Affiliate_30,720,238,89,551,"$4,053",4,6,$26,17,10,$98,31,14,$386,39,16,$547,103,20,"$1,705"
01/03/2020,Rest of the world,Affiliate_31,409,124,40,325,$0,1,1,$1,2,2,$4,4,4,$32,4,4,$32,9,5,$71
01/03/2020,Rest of the world,Affiliate_32,"3,262","1,132",584,"2,751","$147,648",114,223,"$2,507",499,197,"$5,474",764,241,"$8,236",862,254,"$9,496","1,518",286,"$18,223"
01/03/2020,Rest of the world,Affiliate_33,"1,345",337,117,936,"$4,122",5,5,$49,16,9,$162,19,10,$183,20,10,$206,27,13,$258
01/03/2020,Rest of the world,Affiliate_34,"4,343","1,184",482,"3,288","$16,187",14,22,$276,52,21,$486,75,26,$640,85,33,$720,155,41,"$1,383"
01/03/2020,Rest of the world,Rest,"1,516",391,152,"1,236","$4,557",8,13,$70,31,16,$200,46,23,$304,47,23,$320,107,28,$888
01/03/2020,Russia,Affiliate_26,"1,027",433,181,"1,106",$0,8,10,$38,21,14,$106,29,16,$157,36,18,$214,65,22,$361
01/03/2020,Russia,Affiliate_28,455,173,56,442,"$1,038",4,8,$20,19,5,$61,31,6,$123,37,6,$160,53,6,$201
01/03/2020,Russia,Affiliate_30,346,167,86,347,"$1,626",5,8,$35,19,12,$76,31,15,$170,41,15,$197,97,23,$631
01/03/2020,Russia,Affiliate_31,4,1,0,3,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
01/03/2020,Russia,Affiliate_33,336,125,60,326,$673,1,2,$6,6,3,$19,13,5,$62,20,6,$88,37,7,$180
01/03/2020,Russia,Affiliate_34,"1,074",421,207,"1,086","$3,101",5,6,$6,20,14,$36,41,19,$139,53,22,$219,130,30,$505
01/03/2020,Russia,Rest,947,285,126,741,"$3,778",6,6,$6,9,8,$40,14,11,$48,16,11,$48,35,14,$128
01/03/2020,South Korea,Affiliate_27,17,3,0,11,$474,1,1,$3,1,1,$3,1,1,$3,1,1,$3,1,1,$3
01/03/2020,South Korea,Affiliate_28,212,47,5,205,$846,1,1,$2,1,1,$2,1,1,$2,1,1,$2,1,1,$2
01/03/2020,South Korea,Affiliate_29,457,95,24,324,"$10,312",12,22,$235,50,18,$666,65,18,$929,68,18,$943,80,18,"$1,038"
01/03/2020,South Korea,Affiliate_34,7,1,1,7,$199,1,3,$49,3,1,$49,3,1,$49,3,1,$49,3,1,$49
01/03/2020,South Korea,Rest,105,23,6,78,$892,1,1,$3,1,1,$3,1,1,$3,1,1,$3,1,1,$3
01/03/2020,Spain,Affiliate_26,49,15,5,35,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
01/03/2020,Spain,Affiliate_27,21,6,2,13,$218,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
01/03/2020,Spain,Affiliate_31,119,40,10,110,$0,1,1,$3,1,1,$3,1,1,$3,1,1,$3,3,1,$25
01/03/2020,Spain,Affiliate_34,49,8,2,35,$299,0,0,$0,2,1,$8,2,1,$8,2,1,$8,2,1,$8
01/03/2020,Spain,Rest,21,4,2,27,$94,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
01/03/2020,UK,Affiliate_27,119,40,20,98,"$1,090",4,5,$36,9,4,$65,21,6,$148,23,6,$185,52,6,$604
01/03/2020,UK,Affiliate_29,581,203,100,536,"$7,029",7,15,$85,43,18,$371,66,22,$607,79,26,$744,194,32,"$2,422"
01/03/2020,UK,Affiliate_31,2,1,0,1,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
01/03/2020,UK,Affiliate_33,113,31,8,84,$728,0,0,$0,0,0,$0,2,2,$5,2,2,$5,4,3,$14
01/03/2020,UK,Affiliate_34,37,12,6,38,$338,1,1,$3,1,1,$3,2,2,$4,3,2,$5,5,3,$50
01/03/2020,UK,Rest,558,189,70,449,"$3,012",4,6,$23,19,9,$121,26,11,$197,30,11,$221,58,17,$493
01/03/2020,USA,Affiliate_26,379,149,67,331,"$1,869",4,8,$100,18,8,$199,28,12,$321,28,12,$327,45,14,$580
01/03/2020,USA,Affiliate_27,601,198,99,450,"$22,187",20,32,$210,69,30,$607,110,34,"$1,113",119,34,"$1,239",247,47,"$3,050"
01/03/2020,USA,Affiliate_28,194,76,28,182,"$3,685",6,10,$50,20,11,$128,28,14,$246,28,14,$252,49,17,$681
01/03/2020,USA,Affiliate_29,"3,943","1,262",519,"3,269","$71,460",93,187,"$1,982",401,158,"$4,451",608,196,"$6,949",677,203,"$8,008","1,182",223,"$15,858"
01/03/2020,USA,Affiliate_30,248,105,49,223,"$7,086",11,15,$65,42,15,$253,65,20,$541,73,20,$672,142,21,"$1,586"
01/03/2020,USA,Affiliate_31,592,233,100,501,"$1,296",12,18,$160,54,24,$517,81,26,$741,90,29,$799,129,29,"$1,168"
01/03/2020,USA,Affiliate_32,13,7,1,13,"$1,472",4,4,$54,8,4,$114,8,4,$114,8,4,$114,8,4,$114
01/03/2020,USA,Affiliate_33,332,98,36,256,"$3,366",4,9,$105,25,8,$201,45,12,$372,45,12,$372,64,12,$565
01/03/2020,USA,Affiliate_34,626,174,66,488,"$7,753",8,14,$76,31,12,$157,49,17,$304,60,19,$387,139,22,$995
01/03/2020,USA,Affiliate_35,342,134,48,265,"$10,791",19,33,$406,62,28,$716,85,30,$944,91,33,"$1,035",131,36,"$1,432"
01/03/2020,USA,Affiliate_36,127,36,7,101,$318,2,4,$75,8,3,$113,12,3,$157,12,3,$157,13,3,$176
01/03/2020,USA,Rest,"2,754",682,274,"1,678","$18,137",34,54,$655,112,52,"$1,139",155,63,"$1,596",165,65,"$1,771",237,73,"$2,964"
02/03/2020,Australia,Affiliate_27,28,11,4,27,$589,1,5,$123,10,4,$146,11,4,$149,12,4,$150,12,4,$150
02/03/2020,Australia,Affiliate_31,2,0,0,1,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Australia,Affiliate_34,8,5,2,5,$132,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Australia,Rest,29,11,4,25,$239,2,2,$0,2,2,$0,2,2,$0,2,2,$0,2,2,$0
02/03/2020,Canada,Affiliate_27,52,18,9,42,"$2,177",1,1,$0,1,1,$0,3,3,$4,3,3,$4,4,3,$10
02/03/2020,Canada,Affiliate_31,1,1,1,1,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Canada,Affiliate_34,34,12,4,34,$461,0,0,$0,1,1,$16,3,2,$33,4,2,$39,4,2,$39
02/03/2020,Canada,Rest,24,10,5,23,$455,1,4,$64,7,1,$108,7,1,$108,11,2,$268,27,2,$983
02/03/2020,France,Affiliate_26,91,33,11,70,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,1,1,$14
02/03/2020,France,Affiliate_27,77,25,11,58,$794,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,France,Affiliate_29,"1,124",392,143,947,"$13,753",19,24,$228,69,35,$985,109,42,"$1,508",129,45,"$1,788",200,51,"$2,902"
02/03/2020,France,Affiliate_30,17,10,6,14,$334,0,0,$0,6,2,$49,9,2,$93,11,2,$95,19,2,$130
02/03/2020,France,Affiliate_31,100,44,16,99,$0,1,1,$6,4,2,$41,4,2,$41,6,2,$95,12,4,$136
02/03/2020,France,Affiliate_34,31,11,8,20,$208,0,0,$0,0,0,$0,0,0,$0,0,0,$0,1,1,$16
02/03/2020,France,Affiliate_35,34,13,4,21,$532,0,0,$0,0,0,$0,0,0,$0,0,0,$0,1,1,$4
02/03/2020,France,Rest,51,16,6,45,$455,0,0,$0,0,0,$0,1,1,$16,2,1,$23,4,1,$67
02/03/2020,Germany,Affiliate_26,41,17,7,43,$0,0,0,$0,3,1,$7,10,3,$115,11,3,$121,15,3,$226
02/03/2020,Germany,Affiliate_27,65,32,10,49,$747,1,1,$3,10,6,$98,15,6,$157,17,6,$161,23,7,$249
02/03/2020,Germany,Affiliate_29,635,223,89,507,"$13,165",11,17,$157,47,20,$604,60,23,$747,65,23,$859,93,27,"$1,303"
02/03/2020,Germany,Affiliate_30,22,9,8,30,$229,0,0,$0,2,1,$16,4,1,$29,5,2,$36,8,3,$77
02/03/2020,Germany,Affiliate_31,55,20,7,47,$0,0,0,$0,2,2,$10,4,2,$32,4,2,$32,4,2,$39
02/03/2020,Germany,Affiliate_33,57,21,7,46,$379,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Germany,Affiliate_34,223,84,40,172,"$2,027",3,5,$45,25,7,$123,42,9,$224,52,9,$302,93,9,$570
02/03/2020,Germany,Rest,130,37,25,109,$765,2,3,$26,4,3,$51,6,5,$62,6,5,$62,8,6,$79
02/03/2020,Japan,Affiliate_27,7,4,2,6,$421,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Japan,Affiliate_29,80,23,10,52,"$3,904",0,0,$0,0,0,$0,0,0,$0,0,0,$0,1,1,$14
02/03/2020,Japan,Affiliate_34,21,9,7,22,$406,3,4,$54,5,3,$75,10,4,$172,13,4,$230,18,4,$280
02/03/2020,Japan,Rest,11,2,0,10,$191,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Rest of the world,Affiliate_26,332,123,29,269,$0,0,0,$0,0,0,$0,0,0,$0,1,1,$0,3,1,$1
02/03/2020,Rest of the world,Affiliate_27,282,101,32,217,"$3,900",4,14,$215,29,8,$556,45,9,$872,65,9,"$1,296",161,12,"$3,278"
02/03/2020,Rest of the world,Affiliate_28,322,106,29,266,"$1,120",3,4,$17,4,4,$27,6,5,$37,6,5,$37,13,6,$81
02/03/2020,Rest of the world,Affiliate_29,"3,416","1,225",544,"2,788","$87,971",83,152,"$1,564",442,173,"$4,391",660,208,"$7,007",775,221,"$8,709","1,313",241,"$15,750"
02/03/2020,Rest of the world,Affiliate_30,582,201,78,425,"$2,637",4,5,$23,28,14,$202,46,17,$330,61,20,$451,111,22,$851
02/03/2020,Rest of the world,Affiliate_31,"3,647","1,148",168,"2,809","$2,216",6,7,$10,14,11,$14,15,12,$21,15,12,$21,20,13,$37
02/03/2020,Rest of the world,Affiliate_32,"2,480",896,414,"2,035","$141,110",95,167,"$1,658",413,172,"$4,117",616,203,"$6,610",715,209,"$7,793","1,241",242,"$13,909"
02/03/2020,Rest of the world,Affiliate_33,926,267,73,600,"$2,878",4,8,$72,15,5,$123,18,6,$135,19,6,$147,32,8,$474
02/03/2020,Rest of the world,Affiliate_34,"3,188",948,328,"2,731","$10,653",6,10,$63,43,19,$437,67,22,$779,75,25,$815,154,30,"$2,280"
02/03/2020,Rest of the world,Rest,890,227,78,670,"$3,316",4,8,$131,16,9,$140,20,11,$159,22,11,$161,33,13,$268
02/03/2020,Russia,Affiliate_26,687,308,125,660,$0,5,5,$16,17,12,$46,31,16,$164,36,17,$195,72,22,$359
02/03/2020,Russia,Affiliate_28,354,132,40,341,"$1,100",3,3,$4,4,3,$5,5,4,$11,6,4,$16,12,4,$35
02/03/2020,Russia,Affiliate_30,253,125,64,239,"$1,349",1,1,$1,18,8,$126,27,11,$183,30,12,$194,90,15,$510
02/03/2020,Russia,Affiliate_33,255,93,37,218,$510,1,1,$0,4,3,$28,8,4,$61,9,4,$61,20,4,$145
02/03/2020,Russia,Affiliate_34,"1,058",449,186,"1,173","$3,000",8,12,$102,23,12,$149,35,13,$181,39,14,$242,77,14,$393
02/03/2020,Russia,Rest,887,292,120,744,"$3,279",5,7,$28,29,9,$264,50,10,$454,56,11,$488,74,13,$545
02/03/2020,South Korea,Affiliate_27,10,4,2,7,$392,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,South Korea,Affiliate_28,233,52,1,218,$591,3,4,$4,7,4,$8,7,4,$8,7,4,$8,7,4,$8
02/03/2020,South Korea,Affiliate_29,264,62,12,196,"$5,899",6,13,$210,20,7,$305,23,7,$349,23,7,$349,31,9,$367
02/03/2020,South Korea,Affiliate_31,1,1,0,1,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,South Korea,Affiliate_34,14,2,0,14,$262,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,South Korea,Rest,68,14,5,41,$696,1,1,$3,1,1,$3,3,2,$15,3,2,$15,8,2,$114
02/03/2020,Spain,Affiliate_26,47,16,3,32,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Spain,Affiliate_27,21,7,5,17,$135,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Spain,Affiliate_31,106,30,12,88,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,1,1,$2
02/03/2020,Spain,Affiliate_34,40,12,5,32,$261,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,Spain,Rest,19,3,1,15,$104,0,0,$0,0,0,$0,2,1,$13,2,1,$13,4,1,$69
02/03/2020,UK,Affiliate_27,60,28,8,48,$724,1,1,$7,5,3,$46,6,3,$53,6,3,$53,13,4,$168
02/03/2020,UK,Affiliate_29,395,147,59,321,"$6,029",7,12,$72,32,13,$218,53,19,$438,62,20,$493,119,24,"$1,194"
02/03/2020,UK,Affiliate_33,85,23,9,63,$553,1,3,$95,4,1,$128,4,1,$128,4,1,$128,4,1,$128
02/03/2020,UK,Affiliate_34,22,8,5,24,$208,0,0,$0,0,0,$0,0,0,$0,1,1,$16,4,1,$33
02/03/2020,UK,Rest,414,167,56,332,"$2,648",2,2,$1,13,5,$54,17,9,$83,18,10,$99,33,11,$176
02/03/2020,USA,Affiliate_26,292,120,51,236,"$7,650",7,12,$87,22,9,$216,28,11,$305,31,11,$318,56,12,$666
02/03/2020,USA,Affiliate_27,471,156,60,367,"$17,850",18,26,$365,62,29,$994,92,32,"$1,313",105,32,"$1,490",197,34,"$2,730"
02/03/2020,USA,Affiliate_28,155,53,16,138,"$3,284",1,2,$7,7,5,$14,11,7,$20,11,7,$20,17,8,$92
02/03/2020,USA,Affiliate_29,"3,193","1,157",467,"2,664","$75,430",82,140,"$1,580",352,142,"$3,736",546,176,"$6,049",620,184,"$6,809","1,040",199,"$12,654"
02/03/2020,USA,Affiliate_30,181,77,26,163,"$7,465",4,6,$75,45,13,$387,61,13,$571,69,13,$692,157,15,"$2,132"
02/03/2020,USA,Affiliate_31,443,186,77,403,"$1,759",12,13,$100,63,26,$695,101,28,"$1,083",113,28,"$1,214",222,38,"$2,981"
02/03/2020,USA,Affiliate_32,11,7,2,7,"$1,406",1,2,$35,3,2,$66,7,3,$134,8,3,$150,24,3,$561
02/03/2020,USA,Affiliate_33,214,68,26,155,"$2,399",3,4,$8,16,6,$164,21,8,$222,35,8,$347,64,8,$767
02/03/2020,USA,Affiliate_34,487,165,58,392,"$6,699",4,10,$96,21,10,$214,41,12,$362,45,12,$383,81,14,$745
02/03/2020,USA,Affiliate_35,262,98,43,219,"$9,014",17,28,$316,45,23,$473,72,27,$811,82,28,$908,131,34,"$1,682"
02/03/2020,USA,Affiliate_36,64,33,3,53,$160,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
02/03/2020,USA,Rest,"2,028",477,166,"1,153","$13,356",15,22,$173,79,27,$573,103,32,$767,121,35,$953,200,43,"$1,773"
03/03/2020,Australia,Affiliate_27,41,22,11,43,$648,2,2,$1,12,6,$68,20,6,$152,20,6,$152,35,6,$270
03/03/2020,Australia,Affiliate_34,9,3,1,9,$162,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,Australia,Rest,34,10,6,24,$299,0,0,$0,1,1,$0,5,1,$13,6,1,$29,15,1,$140
03/03/2020,Canada,Affiliate_27,54,25,10,42,"$1,528",1,3,$7,6,2,$23,8,3,$49,9,4,$52,11,4,$70
03/03/2020,Canada,Affiliate_34,14,6,2,11,$202,1,1,$7,4,1,$57,6,1,$76,6,1,$76,8,1,$79
03/03/2020,Canada,Rest,12,4,0,22,$302,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,France,Affiliate_26,75,32,13,62,$0,1,4,$48,6,1,$118,6,1,$118,6,1,$118,6,1,$118
03/03/2020,France,Affiliate_27,67,30,11,61,$968,0,0,$0,5,4,$49,6,4,$66,7,4,$72,10,4,$81
03/03/2020,France,Affiliate_29,931,345,126,761,"$10,363",11,17,$138,57,28,$489,77,33,$679,82,34,$713,122,42,"$1,175"
03/03/2020,France,Affiliate_30,24,10,5,20,$215,0,0,$0,0,0,$0,2,1,$26,3,1,$42,4,2,$61
03/03/2020,France,Affiliate_31,89,41,11,86,$0,2,2,$13,4,3,$64,7,3,$119,8,4,$144,20,4,$353
03/03/2020,France,Affiliate_34,40,15,7,33,$237,0,0,$0,0,0,$0,0,0,$0,0,0,$0,2,2,$9
03/03/2020,France,Affiliate_35,64,23,7,49,$974,1,1,$6,21,3,$143,22,3,$153,26,4,$199,31,4,$274
03/03/2020,France,Rest,39,13,3,49,$382,0,0,$0,0,0,$0,1,1,$6,1,1,$6,2,1,$8
03/03/2020,Germany,Affiliate_26,44,24,10,48,$0,1,1,$2,2,2,$21,4,4,$51,4,4,$51,4,4,$51
03/03/2020,Germany,Affiliate_27,56,20,9,44,$904,4,6,$39,11,4,$126,17,5,$193,20,6,$293,36,6,$427
03/03/2020,Germany,Affiliate_29,603,211,99,543,"$11,024",12,18,$156,51,25,$480,70,29,$688,78,30,$820,110,34,"$1,072"
03/03/2020,Germany,Affiliate_30,20,13,4,19,$266,0,0,$0,0,0,$0,1,1,$3,1,1,$3,4,1,$48
03/03/2020,Germany,Affiliate_31,76,23,7,49,$0,1,4,$9,4,1,$16,5,1,$32,6,2,$39,6,2,$39
03/03/2020,Germany,Affiliate_33,47,16,5,42,$348,0,0,$0,2,1,$51,4,3,$86,4,3,$86,7,4,$111
03/03/2020,Germany,Affiliate_34,246,68,37,182,"$2,272",2,8,$145,18,4,$330,27,5,$543,30,6,$595,50,7,"$1,197"
03/03/2020,Germany,Rest,134,51,22,117,$735,0,0,$0,5,2,$56,11,5,$126,14,5,$151,18,5,$198
03/03/2020,Japan,Affiliate_27,11,3,1,7,$601,0,0,$0,1,1,$7,2,1,$8,3,1,$8,7,1,$28
03/03/2020,Japan,Affiliate_29,76,24,11,50,"$3,145",4,6,$107,10,4,$121,10,4,$121,10,4,$121,11,4,$124
03/03/2020,Japan,Affiliate_34,17,6,3,11,$293,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,Japan,Rest,9,1,1,9,$166,0,0,$0,1,1,$2,1,1,$2,2,1,$20,3,1,$42
03/03/2020,Rest of the world,Affiliate_26,266,93,34,202,$0,1,3,$8,11,4,$24,13,4,$35,15,4,$39,23,5,$58
03/03/2020,Rest of the world,Affiliate_27,284,97,35,279,"$3,853",6,14,$184,37,13,$478,55,15,$696,61,16,$746,83,16,"$1,210"
03/03/2020,Rest of the world,Affiliate_28,288,95,24,254,"$2,029",1,1,$1,3,2,$36,3,2,$36,3,2,$36,47,5,$167
03/03/2020,Rest of the world,Affiliate_29,"2,921","1,038",408,"2,375","$78,032",68,114,"$1,380",326,123,"$3,732",498,143,"$5,798",591,154,"$6,995","1,021",172,"$13,611"
03/03/2020,Rest of the world,Affiliate_30,652,226,80,463,"$5,494",8,12,$115,42,15,$353,53,18,$455,67,18,$580,118,20,$929
03/03/2020,Rest of the world,Affiliate_31,"3,804","1,000",211,"2,869","$2,216",4,4,$3,5,5,$10,10,8,$30,12,8,$47,19,12,$75
03/03/2020,Rest of the world,Affiliate_32,"3,063","1,113",504,"2,439","$155,638",86,143,"$1,440",407,169,"$4,093",603,196,"$6,366",706,209,"$7,879","1,201",246,"$12,818"
03/03/2020,Rest of the world,Affiliate_33,834,231,48,546,"$2,495",4,6,$31,9,6,$37,21,6,$163,27,7,$198,43,9,$308
03/03/2020,Rest of the world,Affiliate_34,"3,295","1,003",334,"2,514","$12,302",6,8,$14,24,15,$169,54,22,$436,63,25,$541,132,38,"$1,141"
03/03/2020,Rest of the world,Rest,773,208,74,565,"$2,973",6,6,$9,34,12,$206,58,16,$300,76,16,$399,200,18,"$1,673"
03/03/2020,Russia,Affiliate_26,607,285,103,596,$0,2,2,$3,14,11,$103,24,12,$142,29,13,$182,56,18,$393
03/03/2020,Russia,Affiliate_28,355,130,38,328,"$1,445",1,1,$3,4,2,$10,4,2,$10,6,2,$16,7,2,$17
03/03/2020,Russia,Affiliate_30,246,121,50,231,"$1,886",0,0,$0,4,3,$53,8,4,$90,10,5,$95,25,11,$224
03/03/2020,Russia,Affiliate_31,2,1,0,3,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,Russia,Affiliate_33,224,84,37,214,$479,0,0,$0,1,1,$24,3,2,$41,3,2,$41,12,6,$50
03/03/2020,Russia,Affiliate_34,"1,115",487,214,"1,166","$3,155",8,12,$60,38,14,$131,61,18,$195,77,21,$238,142,25,$482
03/03/2020,Russia,Rest,743,235,93,630,"$2,837",2,2,$1,9,5,$6,12,6,$10,15,8,$12,43,10,$39
03/03/2020,South Korea,Affiliate_26,3,1,0,3,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,South Korea,Affiliate_27,10,5,2,20,$424,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,South Korea,Affiliate_28,290,87,7,261,$682,2,2,$1,4,3,$4,5,4,$11,5,4,$11,8,4,$36
03/03/2020,South Korea,Affiliate_29,279,68,17,249,"$5,801",4,14,$303,28,5,$628,30,7,$633,31,8,$651,31,8,$651
03/03/2020,South Korea,Affiliate_34,8,4,2,9,$196,0,0,$0,2,1,$15,4,1,$27,4,1,$41,5,1,$58
03/03/2020,South Korea,Rest,56,16,7,40,$427,1,1,$3,3,3,$10,6,3,$26,7,3,$28,13,3,$39
03/03/2020,Spain,Affiliate_26,48,13,0,32,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,Spain,Affiliate_27,13,4,2,10,$136,0,0,$0,1,1,$3,1,1,$3,1,1,$3,2,1,$24
03/03/2020,Spain,Affiliate_31,91,32,8,76,$48,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,Spain,Affiliate_34,37,13,8,31,$251,0,0,$0,0,0,$0,0,0,$0,0,0,$0,0,0,$0
03/03/2020,Spain,Rest,17,4,2,16,$83,0,0,$0,0,0,$0,0,0,$0,0,0,$0,1,1,$16
03/03/2020,UK,Affiliate_27,86,32,8,65,$856,2,3,$39,5,3,$53,7,4,$64,7,4,$64,9,4,$74
03/03/2020,UK,Affiliate_29,357,140,60,314,"$5,823",6,9,$69,28,12,$392,53,19,$768,61,19,$888,92,21,"$1,095"
